respondent_id,age_group,gender,college_year,monthly_budget_range,avg_monthly_budget,income_source,primary_upi_app,perceives_upi_risky,upi_usage_reason,weekly_tx_range,avg_weekly_tx,pct_unplanned,pct_unplanned_avg,balance_check_habit,tracks_expenses,ran_out_of_money,flag_morning,flag_afternoon,flag_evening,flag_latenight,flag_postmidnight,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,cat_food_delivery,cat_grocery,cat_online_shopping,cat_subscriptions,cat_gaming,cat_gadgets,cat_offline_cafe,cat_other,post_regret_action,hidden_purchase,regret_intensity,high_regret,regret_description,impulse_composite_score,cluster,cluster_name
3000,18-21,Male,Ug,Rs1000 - Rs3000,1500.0,100% Parents Money,Google Pay (GPay),1,Comfort,4-7,5.0,<20%,10,0,0,1,0,0,1,0,0,1,1,1,1,3,2,1,1,0,0,0,0,1,0,0,0,0,Accept it or move on,2,4,0,,1.375,0.0,Routine Evening Spenders
3001,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,PhonePe,1,Comfort,15+,18.0,40-60%,50,2,0,1,0,0,1,1,0,2,2,3,1,2,1,1,4,1,1,1,1,0,0,0,0,0,Accept it or move on,2,6,1,,2.0,0.0,Routine Evening Spenders
3002,18-21,Female,Ug,Rs3000 - Rs6000,2231.0,100% Parents Money,PhonePe,1,Comfort,15+,20.0,40-60%,50,1,1,3,0,0,1,1,1,4,5,5,4,4,3,2,5,4,1,1,1,0,0,0,0,0,See my expense and feel worse,2,8,1,I bought two of trousers from mall after seeing buy two and get 200 off,4.0,1.0,High Impulsive Spenders
3003,18-21,Female,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,PhonePe,0,Comfort,4-7,5.0,20-40%,30,0,0,0,1,1,1,0,0,1,1,1,1,1,3,3,2,1,1,1,0,0,0,1,1,0,Accept it or move on,0,3,0,,1.625,0.0,Routine Evening Spenders
3004,18-21,Male,Ug,Rs1000 - Rs3000,1200.0,100% Parents Money,Google Pay (GPay),1,Safety,4-7,6.0,20-40%,30,1,2,0,0,0,1,0,0,3,4,3,1,4,1,1,1,1,0,0,0,0,0,0,1,0,Accept it or move on,2,3,0,"Snacks for this weekend to eat and chill watching ""stuff"". I don't usually spend much, but I do think twice (hesitant) before most of the unnecessary payments I do. Nothing specific madee click pay, I just went with the impulse.",2.25,0.0,Routine Evening Spenders
3005,18-21,Male,Ug,Rs1000 - Rs3000,1500.0,100% Parents Money,Navi UPI,0,Comfort,4-7,5.0,<20%,10,2,2,1,0,0,1,0,0,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,1,Accept it or move on,2,3,0,,1.25,0.0,Routine Evening Spenders
3006,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),0,Comfort,8-15,12.0,<20%,10,2,2,1,1,0,0,1,0,1,1,1,1,5,1,1,5,1,0,0,0,0,0,0,1,0,Accept it or move on,0,2,0,,2.0,2.0,Controlled Spenders
3007,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Merchant preference,4-7,5.0,40-60%,50,2,1,2,0,1,1,0,0,1,2,1,3,4,1,1,1,2,0,1,0,0,0,0,0,0,Accept it or move on,0,4,0,,1.75,0.0,Routine Evening Spenders
3008,18-21,Male,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Google Pay (GPay),0,Comfort,4-7,5.0,<20%,10,2,0,2,0,1,0,0,0,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,Accept it or move on,0,2,0,,1.25,2.0,Controlled Spenders
3009,18-21,Male,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Paytm,0,Merchant preference,8-15,10.0,<20%,10,2,1,1,0,0,1,0,0,1,3,1,2,1,3,1,2,2,1,0,0,0,0,0,1,0,Accept it or move on,0,1,0,,1.75,0.0,Routine Evening Spenders
3010,Under 18,Male,Ug,Rs3000 - Rs6000,3500.0,100% Parents Money,Google Pay (GPay),1,Merchant preference,15+,24.0,20-40%,30,2,2,2,0,0,1,0,0,1,1,1,2,3,3,1,1,1,1,1,0,0,0,0,1,0,Accept it or move on,2,2,0,Not particular but sometimes i order patties and samosa from my cafe which i can avoid . My hunger forced me to pay,1.625,0.0,Routine Evening Spenders
3011,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Paytm,1,Comfort,8-15,12.0,40-60%,50,1,0,3,0,0,0,1,0,1,2,1,2,1,2,2,2,0,1,0,0,0,0,0,0,0,Buy Something else to feel better,1,3,0,,1.625,2.0,Controlled Spenders
3012,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Paytm,1,Comfort,8-15,12.0,40-60%,50,0,0,3,0,0,0,1,0,1,2,1,2,1,1,2,1,1,1,0,0,0,0,0,0,0,Buy Something else to feel better,1,3,0,,1.375,2.0,Controlled Spenders
3013,18-21,Male,Ug,Rs1000 - Rs3000,1800.0,100% Parents Money,Google Pay (GPay),1,Comfort,1-3,3.0,20-40%,30,0,0,2,0,0,1,0,0,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,1,0,Accept it or move on,2,1,0,,1.25,0.0,Routine Evening Spenders
3014,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Comfort,4-7,5.0,20-40%,30,0,1,1,0,0,0,1,0,3,3,3,4,2,4,2,4,2,1,1,1,1,0,0,0,0,Accept it or move on,0,6,1,,3.125,2.0,Controlled Spenders
3015,18-21,Female,Ug,< Rs1000,750.0,100% Parents Money,Paytm,1,Merchant preference,1-3,2.0,20-40%,30,2,2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,Accept it or move on,2,1,0,,1.0,0.0,Routine Evening Spenders
3016,Under 18,Female,Ug,< Rs1000,750.0,100% Parents Money,PhonePe,0,Comfort,1-3,2.0,<20%,10,3,2,1,0,0,1,0,0,1,1,1,2,3,1,2,1,1,1,0,0,0,0,0,0,0,Accept it or move on,0,10,1,,1.5,0.0,Routine Evening Spenders
3017,18-21,Male,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Google Pay (GPay),1,Comfort,4-7,6.0,<20%,10,3,2,1,0,0,1,0,0,1,1,1,3,1,1,1,1,1,1,1,0,0,0,0,1,0,Accept it or move on,0,3,0,,1.25,0.0,Routine Evening Spenders
3018,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Paytm,1,Safety,4-7,5.0,20-40%,30,1,2,1,0,0,1,1,0,1,1,3,4,3,1,1,4,3,0,0,0,0,0,0,1,0,Accept it or move on,2,7,1,,2.25,0.0,Routine Evening Spenders
3019,18-21,Male,Ug,Rs1000 - Rs3000,2500.0,100% Parents Money,PhonePe,0,Comfort,4-7,7.0,<20%,10,2,2,3,0,0,1,0,0,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,1,0,See my expense and feel worse,0,7,1,,1.375,0.0,Routine Evening Spenders
3020,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,I have an internship / part-time job,Google Pay (GPay),1,Comfort,15+,28.0,<20%,10,0,0,1,0,0,1,0,0,1,1,1,4,1,1,1,1,2,1,1,0,0,0,0,0,0,Accept it or move on,0,1,0,,1.375,0.0,Routine Evening Spenders
3021,Under 18,Male,Ug,< Rs1000,750.0,100% Parents Money,Bhim UPI,1,Comfort,1-3,2.0,40-60%,50,0,1,0,0,0,1,0,0,1,3,1,1,1,1,1,1,2,1,1,0,0,0,0,1,0,See my expense and feel worse,1,7,1,,1.25,0.0,Routine Evening Spenders
3022,22-25,Male,Pg,Rs6000+,22000.0,I have an internship / part-time job,Cred,1,Comfort,15+,18.0,20-40%,30,1,0,2,0,0,1,0,0,1,1,1,1,2,1,2,2,1,1,0,0,0,0,0,0,0,Accept it or move on,1,4,0,,1.375,0.0,Routine Evening Spenders
3023,22-25,Male,Ug,Rs1000 - Rs3000,2500.0,100% Parents Money,Cred,1,Comfort,4-7,6.0,20-40%,30,3,2,2,0,1,0,1,0,1,3,1,1,2,1,1,5,2,1,1,0,0,0,0,1,0,See my expense and feel worse,2,4,0,"Most of my expense is for food and groceries, I check mess menu. Than I order food from zomato/swiggy/eatsure",1.875,2.0,Controlled Spenders
